,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
l_ft_home,0.548,0.023,0.507,0.592,0.001,0.0,1495.0,2517.0,1.0
l_2pt_home,0.994,0.006,0.982,1.0,0.0,0.0,1320.0,1363.0,1.0
l_3pt_home,0.982,0.015,0.954,1.0,0.0,0.0,773.0,500.0,1.01
l_ft_away,0.534,0.023,0.49,0.576,0.001,0.0,1110.0,2129.0,1.0
l_2pt_away,0.992,0.007,0.979,1.0,0.0,0.0,760.0,646.0,1.01
l_3pt_away,0.502,0.291,0.061,0.997,0.005,0.004,3079.0,3342.0,1.0
