,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_3pt[14],-0.057,0.032,-0.116,0.005,0.0,0.0,6300.0,4855.0,1.0
att_3pt[15],0.131,0.029,0.076,0.184,0.0,0.0,9347.0,5091.0,1.0
att_3pt[16],0.079,0.03,0.022,0.134,0.0,0.0,8847.0,5520.0,1.0
att_3pt[17],-0.097,0.032,-0.159,-0.038,0.0,0.0,8742.0,5650.0,1.0
att_3pt[18],-0.015,0.031,-0.072,0.044,0.0,0.0,7940.0,5406.0,1.0
att_3pt[19],-0.032,0.031,-0.088,0.027,0.0,0.0,8358.0,5779.0,1.0
att_3pt[20],-0.155,0.033,-0.219,-0.094,0.0,0.0,6094.0,4572.0,1.0
att_3pt[21],0.023,0.031,-0.034,0.08,0.0,0.0,5867.0,5102.0,1.0
att_3pt[22],-0.015,0.031,-0.073,0.044,0.0,0.0,6987.0,5372.0,1.0
att_3pt[23],-0.032,0.031,-0.093,0.025,0.0,0.0,8012.0,6015.0,1.0
att_3pt[24],0.109,0.029,0.054,0.165,0.0,0.0,7835.0,4861.0,1.0
att_3pt[25],0.017,0.031,-0.041,0.076,0.0,0.0,8430.0,5342.0,1.0
att_3pt[26],-0.144,0.033,-0.209,-0.084,0.0,0.0,8163.0,4758.0,1.0
att_3pt[27],0.042,0.03,-0.015,0.099,0.0,0.0,6922.0,4852.0,1.0
att_3pt[28],0.033,0.03,-0.023,0.09,0.0,0.0,8138.0,5674.0,1.0
att_3pt[29],-0.024,0.031,-0.085,0.033,0.0,0.0,7864.0,5163.0,1.0
intercept_3pt,6.972,1.244,5.146,9.198,0.056,0.042,773.0,502.0,1.01
